Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
"grove-six-dwc-system","Grove Six Deep Water Culture System","<p>A six-site DWC tub for lettuce, basil, and compact tomatoes. Air stones keep roots oxygenated; the lid is marked so you can stagger plantings instead of harvesting everything on the same Tuesday.</p><p><strong>Is this right for me?</strong> Choose this if you want a first hydroponic harvest without plumbing a greenhouse. It is not for 20 fruiting tomatoes.</p><ul><li>Sites: 6</li><li>Reservoir: 8 gal</li><li>Method: Deep Water Culture</li><li>Power: Air pump, 120V</li></ul>","HarvestHome","Hydroponics","hydroponics, dwc, beginner, lettuce, herbs, indoor, food","TRUE","Title","Default","HH-0001","8165","shopify","14","deny","manual","189.00","219.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/sylvara/main/public/products/grove-six-dwc-system.webp","1","Grove Six Deep Water Culture System","active"
"grove-six-dwc-system","","","","","","","","","","","","","","","","","","","https://raw.githubusercontent.com/arcmonay/sylvara/main/public/products/grove-six-dwc-system-2.webp","2","Grove Six Deep Water Culture System",""
"grove-six-dwc-system","","","","","","","","","","","","","","","","","","","https://raw.githubusercontent.com/arcmonay/sylvara/main/public/products/grove-six-dwc-system-3.webp","3","Grove Six Deep Water Culture System",""
"channel-twelve-nft","Channel Twelve NFT Gutter System","<p>Twelve planting sites on a gentle nutrient film. Built for leafy greens in a greenhouse bench or spare room — a production rhythm, not a science fair.</p><p><strong>Is this right for me?</strong> Right if you already understand reservoirs and want continuous lettuce. Skip it as a first hydroponic toy.</p><ul><li>Channels: 2 × 6 sites</li><li>Length: 8 ft</li><li>Method: NFT</li></ul>","HarvestHome","Hydroponics","hydroponics, nft, lettuce, commercial, greenhouse","TRUE","Title","Default","HH-0002","14515","shopify","15","deny","manual","429.00","","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/sylvara/main/public/products/channel-twelve-nft.webp","1","Channel Twelve NFT Gutter System","active"
"channel-twelve-nft","","","","","","","","","","","","","","","","","","","https://raw.githubusercontent.com/arcmonay/sylvara/main/public/products/channel-twelve-nft-2.webp","2","Channel Twelve NFT Gutter System",""
"channel-twelve-nft","","","","","","","","","","","","","","","","","","","https://raw.githubusercontent.com/arcmonay/sylvara/main/public/products/channel-twelve-nft-3.webp","3","Channel Twelve NFT Gutter System",""
"flood-tray-ebb","Flood Tray Ebb & Flow Bench Kit","<p>A 4×4 flood-and-drain tray with a timer and fitting pack. Fill, drain, repeat — the most forgiving way to run pots of media on a bench.</p><p><strong>Is this right for me?</strong> Buy this when you want potted hydroponics without babysitting drip emitters all week.</p><ul><li>Tray: 4 × 4 ft</li><li>Cycle: Timer-controlled flood</li></ul>","HarvestHome","Hydroponics","hydroponics, ebb-flow, tray, media","TRUE","Title","Default","HH-0003","10886","shopify","16","deny","manual","268.00","","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/sylvara/main/public/products/flood-tray-ebb.webp","1","Flood Tray Ebb & Flow Bench Kit","active"
"flood-tray-ebb","","","","","","","","","","","","","","","","","","","https://raw.githubusercontent.com/arcmonay/sylvara/main/public/products/flood-tray-ebb-2.webp","2","Flood Tray Ebb & Flow Bench Kit",""
"flood-tray-ebb","","","","","","","","","","","","","","","","","","","https://raw.githubusercontent.com/arcmonay/sylvara/main/public/products/flood-tray-ebb-3.webp","3","Flood Tray Ebb & Flow Bench Kit",""
"drip-rail-hydro","Drip Rail Hydroponic Kit","<p>A 12-site drip manifold for Dutch-bucket or coco bags. Each plant gets its own stake dripper so fruiting crops do not share a swamp.</p><p><strong>Is this right for me?</strong> For tomatoes, cucumbers, and peppers in a greenhouse — not for a first basil jar.</p><ul><li>Sites: 12</li><li>Line: 1/4 in drip</li></ul>","HarvestHome","Hydroponics","hydroponics, drip, tomato, coco","TRUE","Title","Default","HH-0004","2722","shopify","17","deny","manual","154.00","","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/sylvara/main/public/products/drip-rail-hydro.webp","1","Drip Rail Hydroponic Kit","active"
"drip-rail-hydro","","","","","","","","","","","","","","","","","","","https://raw.githubusercontent.com/arcmonay/sylvara/main/public/products/drip-rail-hydro-2.webp","2","Drip Rail Hydroponic Kit",""
"drip-rail-hydro","","","","","","","","","","","","","","","","","","","https://raw.githubusercontent.com/arcmonay/sylvara/main/public/products/drip-rail-hydro-3.webp","3","Drip Rail Hydroponic Kit",""
"mist-cloner-35","Mist Cloner 35 Aeroponic Propagator","<p>Thirty-five sites under a fine root-zone mist. Cuttings root without a soil-borne mess, then move into DWC, NFT, or a greenhouse bench.</p><p><strong>Is this right for me?</strong> If you already have a mother plant or want to multiply herbs. Not a full food system by itself.</p><ul><li>Sites: 35</li><li>Method: Aeroponic mist</li></ul>","HarvestHome","Hydroponics","hydroponics, aeroponics, propagation, cloner","TRUE","Title","Default","HH-0005","6350","shopify","18","deny","manual","219.00","","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/sylvara/main/public/products/mist-cloner-35.webp","1","Mist Cloner 35 Aeroponic Propagator","active"
"mist-cloner-35","","","","","","","","","","","","","","","","","","","https://raw.githubusercontent.com/arcmonay/sylvara/main/public/products/mist-cloner-35-2.webp","2","Mist Cloner 35 Aeroponic Propagator",""
"mist-cloner-35","","","","","","","","","","","","","","","","","","","https://raw.githubusercontent.com/arcmonay/sylvara/main/public/products/mist-cloner-35-3.webp","3","Mist Cloner 35 Aeroponic Propagator",""
"cistern-20","Cistern 20 Reservoir","<p>A 20-gallon food-grade reservoir with a marked lid and bulkhead ready for a pump. The workhorse tank under NFT, drip, and flood trays.</p><p><strong>Is this right for me?</strong> You need this if your system did not include a tank, or you outgrew the one it came with.</p><ul><li>Capacity: 20 gal</li><li>Material: Food-grade HDPE</li></ul>","HarvestHome","Hydroponics","hydroponics, reservoir, tank","TRUE","Title","Default","HH-0006","3629","shopify","19","deny","manual","79.00","","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/sylvara/main/public/products/cistern-20.webp","1","Cistern 20 Reservoir","active"
"cistern-20","","","","","","","","","","","","","","","","","","","https://raw.githubusercontent.com/arcmonay/sylvara/main/public/products/cistern-20-2.webp","2","Cistern 20 Reservoir",""
"cistern-20","","","","","","","","","","","","","","","","","","","https://raw.githubusercontent.com/arcmonay/sylvara/main/public/products/cistern-20-3.webp","3","Cistern 20 Reservoir",""
"cistern-40","Cistern 40 Reservoir","<p>Forty gallons for fruiting rows and small commercial benches. Extra headroom so you are not mixing nutrients every other morning.</p><p><strong>Is this right for me?</strong> Serious greenhouse or multi-channel NFT. Overkill for a six-site DWC.</p><ul><li>Capacity: 40 gal</li><li>Material: Food-grade HDPE</li></ul>","HarvestHome","Hydroponics","hydroponics, reservoir, commercial","TRUE","Title","Default","HH-0007","6350","shopify","20","deny","manual","129.00","","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/sylvara/main/public/products/cistern-40.webp","1","Cistern 40 Reservoir","active"
"cistern-40","","","","","","","","","","","","","","","","","","","https://raw.githubusercontent.com/arcmonay/sylvara/main/public/products/cistern-40-2.webp","2","Cistern 40 Reservoir",""
"cistern-40","","","","","","","","","","","","","","","","","","","https://raw.githubusercontent.com/arcmonay/sylvara/main/public/products/cistern-40-3.webp","3","Cistern 40 Reservoir",""
"flow-pump-400","Flow Pump 400 GPH","<p>A quiet magnetic-drive pump for NFT channels, drip rails, and flood trays. Rated for nutrient solution, not pond sludge.</p><p><strong>Is this right for me?</strong> Match it to a 20-gallon reservoir and a short run of tubing. For long greenhouse mains, step up.</p><ul><li>Flow: 400 GPH</li><li>Voltage: 120V</li></ul>","HarvestHome","Hydroponics","hydroponics, pump, irrigation","TRUE","Title","Default","HH-0008","1361","shopify","21","deny","manual","48.00","","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/sylvara/main/public/products/flow-pump-400.webp","1","Flow Pump 400 GPH","active"
"flow-pump-400","","","","","","","","","","","","","","","","","","","https://raw.githubusercontent.com/arcmonay/sylvara/main/public/products/flow-pump-400-2.webp","2","Flow Pump 400 GPH",""
"flow-pump-400","","","","","","","","","","","","","","","","","","","https://raw.githubusercontent.com/arcmonay/sylvara/main/public/products/flow-pump-400-3.webp","3","Flow Pump 400 GPH",""
"dual-air-pump","Dual Outlet Air Pump","<p>Two outlets, one pump — enough air for a six-site DWC or a pair of clone totes. Rubber feet keep it from walking off the shelf.</p><p><strong>Is this right for me?</strong> Required for DWC. Optional everywhere else.</p><ul><li>Outlets: 2</li><li>Use: DWC / reservoir oxygenation</li></ul>","HarvestHome","Hydroponics","hydroponics, air pump, dwc","TRUE","Title","Default","HH-0009","907","shopify","22","deny","manual","36.00","","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/sylvara/main/public/products/dual-air-pump.webp","1","Dual Outlet Air Pump","active"
"dual-air-pump","","","","","","","","","","","","","","","","","","","https://raw.githubusercontent.com/arcmonay/sylvara/main/public/products/dual-air-pump-2.webp","2","Dual Outlet Air Pump",""
"dual-air-pump","","","","","","","","","","","","","","","","","","","https://raw.githubusercontent.com/arcmonay/sylvara/main/public/products/dual-air-pump-3.webp","3","Dual Outlet Air Pump",""
"stone-four-pack","Air Stone Four-Pack","<p>Cylinder stones that break a pump’s roar into a fine bubble curtain. Replace them when they clog — they are cheap on purpose.</p><p><strong>Is this right for me?</strong> A consumable. Buy it with the air pump, not as a standalone hobby.</p><ul><li>Count: 4</li><li>Shape: Cylinder</li></ul>","HarvestHome","Hydroponics","hydroponics, air stones, dwc","TRUE","Title","Default","HH-0010","454","shopify","23","deny","manual","14.00","","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/sylvara/main/public/products/stone-four-pack.webp","1","Air Stone Four-Pack","active"
"stone-four-pack","","","","","","","","","","","","","","","","","","","https://raw.githubusercontent.com/arcmonay/sylvara/main/public/products/stone-four-pack-2.webp","2","Air Stone Four-Pack",""
"stone-four-pack","","","","","","","","","","","","","","","","","","","https://raw.githubusercontent.com/arcmonay/sylvara/main/public/products/stone-four-pack-3.webp","3","Air Stone Four-Pack",""
"hydro-tube-50","Hydro Tubing 50 ft","<p>Black 1/2-inch tubing that does not light-strike algae into your lines. Cut it, clamp it, forget it.</p><p><strong>Is this right for me?</strong> You will need extra length the moment the reservoir is not directly under the tray.</p><ul><li>Length: 50 ft</li><li>ID: 1/2 in</li><li>Color: Light-proof black</li></ul>","HarvestHome","Hydroponics","hydroponics, tubing, irrigation","TRUE","Length","25 ft","HH-0011","1361","shopify","24","deny","manual","22.00","","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/sylvara/main/public/products/hydro-tube-50.webp","1","Hydro Tubing 50 ft","active"
"hydro-tube-50","","","","","","","","","","","","","","","","","","","https://raw.githubusercontent.com/arcmonay/sylvara/main/public/products/hydro-tube-50-2.webp","2","Hydro Tubing 50 ft",""
"hydro-tube-50","","","","","","","","","","","","","","","","","","","https://raw.githubusercontent.com/arcmonay/sylvara/main/public/products/hydro-tube-50-3.webp","3","Hydro Tubing 50 ft",""
